Student_ID,Age,Gender,HighSchoolGPA,TestScore,CourseType,AttendanceRatio,StudyHabitsScore,ExtracurricularScore,AcademicPerformance
106,29,Male,2.88,540,Engineering,0.66,0.69,0.5,Good
107,25,Female,2.61,660,Arts,0.91,0.44,0.4,Good
108,25,Female,3.97,591,Engineering,0.77,0.4,0.16,Good
109,28,Male,3.63,736,Science,0.9,0.44,0.15,Good
110,20,Female,2.33,750,Science,0.69,0.41,0.16,Good
111,18,Female,2.01,620,Science,0.93,0.68,0.6,Average
112,25,Female,2.09,580,Science,0.83,0.33,0.17,Average
113,20,Male,2.49,204,Engineering,0.6,0.17,0.06,Good
114,20,Female,2.23,203,Science,0.81,0.71,0.96,Poor
115,18,Female,3.07,515,Engineering,0.72,0.03,0.04,Poor
116,28,Female,3.72,277,Engineering,0.62,0.72,0.66,Poor
117,22,Female,3.47,730,Engineering,0.78,0.26,0.94,Average
118,27,Female,2.43,554,Science,0.72,0.19,0.04,Average
119,24,Female,2.8,232,Science,0.68,0.38,0.97,Average
120,27,Female,3.02,338,Engineering,0.74,0.12,0.5,Average
121,26,Male,3.62,471,Engineering,0.67,0.38,0.79,Good
122,29,Male,3.68,395,Engineering,0.72,0.1,0.63,Good
123,24,Female,3.82,326,Arts,0.65,0.48,0.62,Poor
124,26,Male,3.02,548,Arts,0.63,0.18,0.79,Poor
125,25,Female,3.39,243,Science,0.96,0.13,0.07,Good
126,29,Female,2.22,443,Arts,0.96,0.58,0.39,Poor
127,19,Female,3.13,208,Engineering,0.93,0.63,0.97,Average
128,18,Male,2.5,278,Engineering,0.69,0.01,0.05,Poor
129,24,Female,2.86,389,Science,0.89,0.39,0.26,Average
130,24,Female,3.27,285,Science,0.84,0.08,0.67,Poor
131,25,Male,2.51,684,Arts,0.62,0.74,0.1,Average
132,22,Male,2.1,470,Engineering,0.96,0.68,0.54,Poor
133,20,Female,2.02,712,Science,1.0,0.05,0.71,Average
134,29,Male,2.04,219,Science,0.88,0.94,0.76,Good
135,25,Male,2.02,688,Arts,0.69,0.96,0.56,Good
136,23,Female,2.22,329,Science,0.82,0.33,0.5,Average
137,28,Female,2.48,206,Arts,0.64,0.13,0.71,Good
138,20,Female,2.44,509,Engineering,0.72,0.11,0.15,Poor
139,18,Male,3.97,672,Arts,0.89,0.84,0.68,Good
140,20,Male,2.61,301,Science,0.72,0.46,0.92,Average
141,22,Male,2.25,537,Arts,0.66,0.01,0.68,Good
142,20,Female,3.09,518,Arts,0.6,0.93,0.05,Poor
143,18,Male,3.72,712,Engineering,0.83,0.59,0.51,Average
144,22,Male,3.36,224,Arts,0.99,0.69,0.73,Good
145,27,Female,2.59,629,Science,0.79,0.82,0.04,Good
146,24,Female,3.12,342,Science,0.69,0.82,0.76,Good
147,24,Female,3.43,348,Engineering,0.79,0.08,0.28,Poor
148,28,Male,3.46,254,Engineering,0.84,0.57,0.59,Good
149,26,Female,3.33,670,Engineering,0.92,0.7,0.97,Poor
150,27,Male,3.74,562,Science,0.78,0.09,0.99,Average
151,27,Male,3.74,408,Arts,0.67,0.22,0.63,Poor
152,29,Female,3.16,384,Science,0.68,0.4,0.49,Good
153,20,Female,2.86,264,Science,0.96,0.89,0.18,Average
154,24,Female,3.28,748,Engineering,0.69,0.85,0.21,Good
155,18,Female,3.64,311,Engineering,0.89,0.78,0.43,Good
156,21,Female,2.01,462,Arts,0.71,0.99,0.7,Poor
157,21,Male,3.98,275,Arts,0.89,0.24,0.77,Good
158,22,Male,2.37,495,Arts,0.63,0.47,0.22,Poor
159,24,Male,2.94,377,Arts,0.68,0.45,0.54,Average
160,24,Female,3.74,200,Science,0.76,0.68,0.59,Average
161,28,Male,2.45,347,Arts,0.81,0.85,0.89,Average
162,21,Female,2.95,328,Science,0.74,0.49,0.88,Good
163,24,Female,2.27,712,Science,0.83,0.49,0.82,Poor
164,28,Male,2.79,701,Arts,0.73,0.61,0.52,Good
165,20,Male,2.35,348,Arts,0.87,0.74,0.07,Good
166,23,Female,2.73,468,Science,0.8,0.2,0.33,Poor
167,29,Male,2.75,304,Engineering,0.88,0.96,0.62,Good
168,19,Female,3.99,665,Arts,0.77,0.09,0.64,Average
169,27,Male,3.99,480,Engineering,0.95,0.02,0.85,Poor
170,26,Male,2.23,606,Science,0.75,0.36,0.38,Average
171,22,Male,3.45,557,Engineering,0.72,0.7,0.94,Good
172,23,Male,2.1,402,Science,0.82,0.98,0.16,Good
173,29,Male,2.06,480,Engineering,0.8,0.93,0.05,Average
174,29,Female,2.21,456,Engineering,0.81,0.69,0.18,Good
175,29,Male,3.93,293,Engineering,0.92,0.44,0.46,Good
176,29,Male,3.88,523,Science,0.84,0.6,0.82,Poor
177,21,Male,2.39,561,Science,0.95,0.97,0.15,Poor
178,28,Female,2.32,550,Science,0.85,0.27,0.55,Average
179,27,Female,2.48,261,Arts,0.61,0.48,0.78,Good
180,24,Female,3.03,386,Science,0.95,0.69,0.03,Average
181,29,Female,3.14,779,Arts,0.94,0.01,0.04,Good
182,26,Female,2.44,741,Science,0.62,0.38,0.49,Poor
183,24,Male,3.51,503,Arts,0.65,0.57,0.18,Poor
184,18,Male,2.62,635,Engineering,0.82,0.9,0.45,Good
185,18,Male,3.84,412,Engineering,0.62,0.99,0.04,Poor
186,26,Female,3.31,605,Science,0.76,0.56,0.98,Poor
187,28,Female,2.87,333,Arts,0.99,0.94,0.65,Good
188,26,Male,3.58,418,Engineering,0.67,0.1,0.69,Poor
189,21,Female,3.64,620,Engineering,0.68,0.7,0.51,Good
190,26,Female,2.58,518,Arts,0.87,0.4,0.82,Average
191,20,Female,2.68,356,Science,0.62,0.75,0.83,Good
192,24,Male,3.87,387,Engineering,0.93,0.87,0.16,Average
193,23,Male,2.33,675,Science,0.68,0.05,0.77,Good
194,25,Female,2.08,361,Science,0.81,0.94,0.57,Good
195,28,Female,2.91,328,Arts,0.7,0.07,0.76,Good
196,26,Female,3.6,503,Arts,0.86,0.75,0.92,Good
197,22,Female,3.54,288,Engineering,0.83,0.07,0.34,Good
198,18,Male,3.84,361,Arts,0.98,0.86,0.57,Average
199,20,Female,3.07,235,Engineering,0.78,0.2,0.79,Poor
200,27,Male,2.2,426,Engineering,0.95,0.43,0.99,Good
201,29,Male,3.18,350,Engineering,0.83,0.93,0.61,Average
202,25,Male,3.56,792,Science,0.97,0.79,0.72,Average
203,28,Female,2.19,246,Science,0.72,0.79,0.85,Good
204,23,Male,2.35,430,Arts,0.82,0.76,0.75,Good
205,25,Male,2.02,738,Arts,0.76,0.57,0.94,Good
206,26,Female,3.19,364,Engineering,0.63,0.95,0.23,Average
207,21,Female,3.77,786,Engineering,0.83,0.83,0.91,Good
208,18,Female,3.34,773,Science,0.92,0.44,0.21,Good
209,18,Male,3.96,265,Science,0.82,0.74,0.57,Poor
210,27,Female,2.13,279,Engineering,0.71,1.0,0.52,Average
211,21,Male,3.81,339,Engineering,0.71,0.87,0.83,Good
212,29,Male,3.63,599,Arts,0.7,0.0,0.4,Average
213,24,Female,2.63,329,Engineering,0.99,0.74,0.14,Good
214,19,Male,3.95,645,Engineering,0.76,0.9,0.71,Good
215,20,Male,2.58,228,Engineering,0.73,0.33,0.61,Average
216,18,Male,3.78,401,Science,0.77,0.98,0.83,Average
217,22,Male,3.76,436,Science,0.65,0.4,0.76,Average
218,18,Female,3.52,798,Arts,0.68,0.42,0.89,Average
219,25,Male,3.13,538,Arts,0.8,0.16,0.84,Poor
220,18,Female,2.24,598,Arts,0.92,0.1,0.69,Average
221,28,Male,3.06,638,Engineering,0.95,0.54,0.47,Good
222,18,Male,2.71,488,Engineering,0.95,0.6,0.02,Good
223,19,Female,3.58,451,Science,0.98,0.37,0.31,Average
224,19,Male,3.52,299,Engineering,0.65,0.61,0.73,Average
225,29,Male,3.82,784,Engineering,0.62,0.39,0.06,Average
226,23,Male,2.03,621,Science,0.64,0.87,0.76,Average
227,24,Male,3.62,217,Arts,0.84,0.95,0.52,Average
228,22,Male,3.88,670,Engineering,0.82,0.59,0.87,Good
229,18,Male,3.58,206,Science,0.87,0.84,0.66,Poor
230,18,Female,2.26,618,Science,0.75,0.85,0.8,Average
231,20,Female,2.16,579,Arts,0.76,0.71,0.17,Average
232,19,Female,2.04,707,Science,0.82,0.19,0.17,Average
233,22,Male,3.26,313,Arts,0.63,0.15,0.21,Average
234,29,Male,3.26,710,Arts,0.92,0.92,0.33,Poor
235,27,Male,3.97,795,Arts,0.97,0.27,0.9,Poor
236,23,Female,2.8,668,Arts,0.75,0.25,0.77,Good
237,24,Male,2.66,292,Arts,0.9,0.17,0.36,Average
238,21,Female,3.25,691,Science,0.82,0.53,0.92,Average
239,24,Male,3.65,301,Engineering,0.69,0.68,0.78,Good
240,28,Male,3.87,692,Arts,0.63,0.68,0.66,Good
241,25,Male,3.61,735,Arts,0.7,0.26,0.44,Average
242,28,Female,2.85,684,Engineering,0.84,0.09,0.65,Poor
243,18,Male,3.27,678,Engineering,0.62,0.31,0.59,Good
244,23,Female,3.71,366,Arts,0.93,0.5,0.78,Average
245,25,Male,2.98,339,Engineering,0.99,0.61,0.23,Average
246,22,Male,2.43,293,Arts,0.63,0.27,0.89,Average
247,21,Female,2.34,380,Science,0.7,0.18,0.59,Good
248,19,Male,2.0,775,Engineering,0.87,0.84,0.81,Good
249,23,Male,3.44,203,Engineering,0.92,0.86,0.35,Good
250,23,Male,2.22,588,Science,0.74,0.28,0.39,Average
251,28,Male,2.49,471,Engineering,0.81,0.56,0.94,Good
252,18,Female,2.6,331,Science,0.96,0.44,0.62,Average
253,26,Female,3.12,783,Arts,0.75,0.14,0.32,Poor
254,29,Male,2.8,792,Engineering,0.63,0.94,0.08,Poor
255,28,Male,3.35,711,Engineering,1.0,0.01,0.43,Poor
256,23,Female,2.11,251,Science,0.67,0.19,0.85,Good
257,20,Male,2.25,489,Arts,0.62,0.35,0.25,Average
258,21,Female,3.0,645,Arts,0.76,0.86,0.86,Good
259,29,Male,2.67,436,Science,0.65,0.79,0.16,Poor
260,28,Female,2.59,690,Engineering,0.99,0.58,0.13,Average
261,21,Female,2.13,479,Engineering,0.75,0.7,0.61,Poor
262,20,Female,3.79,243,Science,0.93,0.34,0.8,Average
263,27,Female,3.38,558,Science,0.67,0.94,0.78,Good
264,20,Male,2.24,767,Science,0.66,0.03,0.54,Average
265,20,Male,2.13,725,Engineering,0.86,0.1,0.64,Poor
266,21,Female,3.95,661,Science,0.96,0.93,0.26,Average
267,24,Female,3.36,300,Arts,0.65,0.95,0.55,Average
268,21,Female,2.83,660,Science,0.84,0.49,0.21,Poor
269,26,Female,3.4,467,Arts,0.63,0.58,0.93,Poor
270,18,Male,3.51,561,Arts,0.92,0.9,0.68,Poor
271,25,Female,3.56,607,Science,0.96,0.85,0.56,Poor
272,24,Female,2.96,236,Arts,0.85,0.86,0.25,Average
273,19,Female,2.86,667,Engineering,0.88,0.37,0.41,Average
274,25,Female,2.02,458,Science,0.62,0.83,0.78,Poor
275,18,Female,3.85,708,Engineering,0.63,0.07,0.24,Average
276,28,Female,3.21,508,Engineering,0.67,0.49,0.13,Poor
277,29,Female,2.41,472,Arts,0.71,0.24,0.31,Average
278,26,Male,3.84,309,Engineering,0.9,0.04,0.79,Good
279,26,Female,3.83,459,Engineering,0.77,0.62,0.88,Average
280,19,Female,3.98,467,Science,0.63,0.08,0.41,Poor
281,24,Female,3.75,231,Science,0.94,0.12,0.78,Good
282,27,Male,4.0,376,Engineering,1.0,0.08,0.33,Good
283,20,Male,2.49,303,Arts,0.78,0.98,0.51,Poor
284,24,Male,3.68,435,Arts,0.8,0.04,0.02,Poor
285,29,Female,3.65,292,Science,0.63,0.27,0.71,Average
286,27,Female,2.46,400,Science,0.75,0.65,0.72,Average
287,26,Female,2.2,796,Science,0.75,0.82,0.1,Good
288,21,Male,3.96,234,Arts,0.99,0.61,0.36,Average
289,29,Female,2.59,316,Science,0.86,0.98,0.48,Average
290,18,Male,3.74,657,Engineering,0.91,0.34,0.77,Average
291,19,Male,2.01,670,Arts,0.65,0.47,0.82,Good
292,18,Male,2.04,598,Engineering,0.77,0.82,0.72,Average
293,29,Male,2.93,796,Science,0.68,0.68,0.22,Average
294,22,Male,2.48,316,Arts,0.94,0.21,0.36,Poor
295,22,Female,3.38,561,Science,0.66,0.5,0.25,Good
296,28,Female,3.13,403,Arts,0.78,0.98,0.64,Poor
297,24,Male,2.15,345,Science,0.62,0.86,0.65,Good
298,26,Female,2.33,643,Arts,0.85,0.19,0.02,Poor
299,26,Female,2.78,496,Arts,0.79,0.18,0.73,Poor
300,20,Male,2.37,780,Arts,0.8,0.83,0.23,Poor
301,20,Male,3.58,686,Engineering,0.64,0.2,0.8,Poor
302,20,Female,2.83,430,Science,0.81,0.45,0.83,Average
303,21,Female,2.19,402,Science,0.83,0.18,0.8,Average
304,25,Female,2.97,561,Arts,0.99,0.01,0.41,Average
305,23,Female,2.18,594,Engineering,0.61,0.88,0.35,Poor
306,25,Male,2.26,447,Arts,0.97,0.78,0.44,Good
307,18,Female,2.48,639,Science,0.79,0.47,0.53,Good
308,25,Male,3.72,595,Science,0.68,0.16,0.25,Poor
309,21,Male,3.85,555,Arts,0.87,0.81,0.93,Poor
310,28,Female,3.65,600,Arts,0.81,0.36,0.5,Average
311,18,Female,2.67,440,Arts,0.69,0.66,0.07,Poor
312,25,Female,2.54,540,Science,0.85,0.32,1.0,Average
313,21,Male,3.1,428,Arts,0.79,0.43,0.48,Average
314,23,Male,3.44,742,Arts,0.88,0.54,0.95,Poor
315,25,Male,3.99,738,Science,0.88,0.76,0.39,Good
316,21,Male,2.26,728,Arts,0.79,0.83,0.22,Good
317,20,Female,2.1,466,Engineering,0.76,0.44,0.74,Poor
318,26,Male,3.39,328,Science,0.63,0.23,0.43,Average
319,20,Male,3.66,419,Arts,0.8,0.15,0.88,Average
320,26,Female,3.69,281,Arts,0.7,0.34,0.46,Good
321,19,Male,3.36,760,Science,0.62,0.8,0.34,Average
322,19,Male,3.91,752,Science,0.73,0.27,0.97,Good
323,19,Female,3.02,219,Engineering,0.63,0.05,0.83,Poor
324,23,Male,3.83,526,Arts,0.83,0.56,0.21,Poor
325,20,Male,3.94,236,Arts,0.8,0.03,0.49,Average
326,26,Male,3.69,581,Arts,0.92,0.88,0.11,Poor
327,21,Male,2.62,238,Science,0.71,0.68,0.11,Poor
328,18,Female,2.39,308,Science,0.75,0.26,0.85,Average
329,21,Male,3.1,628,Science,0.88,0.47,0.93,Average
330,18,Female,2.91,263,Arts,1.0,0.74,0.74,Good
331,22,Male,3.76,374,Arts,0.96,0.92,0.99,Poor
332,21,Female,2.2,231,Science,0.81,0.87,0.05,Poor
333,25,Female,2.52,730,Engineering,0.87,0.07,0.33,Average
334,25,Female,3.5,305,Arts,0.81,0.08,0.13,Poor
335,24,Male,2.19,681,Engineering,0.77,0.6,0.78,Good
336,20,Male,2.64,405,Science,0.84,0.5,0.89,Good
337,18,Male,2.77,446,Arts,0.75,0.29,0.45,Average
338,18,Female,3.25,288,Engineering,0.71,0.98,0.83,Poor
339,29,Male,2.32,515,Arts,0.88,0.75,0.85,Good
340,28,Male,3.72,210,Engineering,0.95,0.69,0.14,Poor
341,20,Male,2.9,248,Arts,0.72,0.18,0.38,Average
342,23,Male,3.83,772,Engineering,0.88,0.28,0.19,Average
343,24,Female,2.94,370,Engineering,0.77,0.61,0.67,Poor
344,23,Female,2.55,342,Science,0.72,0.8,0.39,Good
345,23,Male,2.28,406,Science,0.85,0.93,0.67,Average
346,23,Male,2.01,662,Engineering,0.98,0.7,0.88,Poor
347,20,Male,3.06,708,Arts,0.74,0.42,0.41,Poor
348,23,Female,2.21,400,Engineering,0.9,0.69,0.97,Good
349,25,Male,2.78,204,Arts,0.73,0.07,0.41,Average
350,28,Female,3.18,410,Arts,0.92,0.6,0.21,Poor
351,28,Female,2.55,228,Arts,0.9,0.89,0.53,Average
352,19,Male,2.35,389,Arts,0.91,0.64,0.4,Average
353,22,Male,3.55,387,Science,1.0,0.01,0.13,Average
354,18,Male,3.89,349,Engineering,0.66,0.69,0.02,Poor
355,29,Female,2.2,724,Arts,0.76,0.73,0.74,Poor
356,18,Female,2.31,565,Science,0.85,0.54,0.93,Good
357,22,Male,3.92,356,Arts,0.84,0.82,0.44,Good
358,29,Female,2.08,279,Arts,0.91,0.2,0.07,Average
359,20,Male,3.96,472,Science,0.62,0.41,0.74,Poor
360,21,Male,2.01,717,Science,0.88,0.81,0.87,Average
361,20,Female,3.75,431,Arts,0.9,0.6,0.32,Poor
362,18,Female,2.61,359,Engineering,0.62,0.99,0.22,Poor
363,18,Female,3.88,543,Science,0.82,0.07,0.34,Average
364,29,Female,2.63,488,Engineering,0.7,0.24,0.91,Good
365,29,Male,3.31,404,Arts,0.92,0.2,0.42,Poor
366,22,Male,2.16,504,Arts,0.62,0.98,0.65,Average
367,23,Male,2.48,559,Arts,0.66,0.87,0.07,Good
368,20,Female,3.55,599,Arts,0.64,0.13,0.28,Good
369,29,Male,3.06,648,Arts,0.63,0.35,0.23,Poor
370,26,Female,3.86,305,Arts,0.84,0.05,0.06,Average
371,22,Female,2.86,281,Engineering,0.95,0.63,0.12,Good
372,25,Female,3.74,541,Science,0.8,0.33,0.42,Poor
373,18,Male,2.9,620,Arts,0.68,0.26,0.56,Average
374,22,Female,3.96,248,Science,0.74,0.52,0.31,Poor
375,20,Female,3.92,405,Engineering,0.74,0.8,0.42,Average
376,29,Female,2.66,417,Arts,0.78,0.4,0.76,Poor
377,18,Female,3.77,635,Arts,0.77,0.76,0.25,Poor
378,21,Female,3.7,521,Science,0.87,0.45,0.03,Average
379,22,Female,2.42,430,Science,0.74,0.21,0.26,Poor
380,24,Female,3.25,686,Science,0.87,0.45,0.92,Average
381,18,Female,2.15,628,Arts,0.82,0.54,0.02,Good
382,20,Female,3.67,483,Science,0.62,0.46,0.13,Good
383,19,Female,2.35,685,Science,0.97,0.27,0.07,Poor
384,26,Female,2.14,475,Engineering,0.67,0.19,0.38,Average
385,27,Female,2.8,632,Arts,0.78,0.95,0.65,Good
386,23,Male,3.15,384,Arts,0.98,0.3,0.91,Average
387,27,Male,3.71,415,Arts,0.7,0.71,0.79,Good
388,20,Female,3.95,296,Science,0.61,0.34,0.25,Average
389,25,Female,2.88,318,Engineering,0.8,0.97,0.63,Average
390,25,Female,2.12,564,Science,0.69,0.99,0.66,Good
391,19,Male,3.5,602,Arts,0.83,0.83,0.09,Good
392,23,Male,3.13,596,Science,0.93,0.58,0.43,Poor
393,24,Male,2.9,657,Arts,0.8,0.54,0.31,Average
394,19,Female,2.62,517,Science,0.86,0.33,0.16,Poor
395,28,Female,3.0,581,Science,0.87,0.12,0.06,Good
396,27,Female,2.68,341,Arts,0.93,0.08,0.03,Good
397,19,Female,3.51,656,Science,0.88,0.47,0.86,Average
398,27,Male,3.09,700,Arts,0.99,0.98,0.33,Average
399,18,Female,3.75,522,Science,0.78,0.25,0.49,Good
400,25,Male,3.09,467,Science,0.62,0.41,0.29,Poor
401,18,Male,2.48,686,Science,0.76,0.64,0.17,Average
402,26,Female,3.7,359,Arts,0.94,0.35,0.26,Average
403,28,Male,3.11,213,Science,0.65,0.0,0.17,Poor
404,23,Male,2.41,354,Science,0.89,0.4,0.76,Good
405,24,Male,3.25,300,Engineering,0.81,0.8,0.91,Good
406,27,Male,2.72,771,Engineering,0.96,0.94,0.43,Good
407,24,Female,3.69,242,Arts,0.89,0.28,0.82,Good
408,27,Female,2.91,392,Arts,0.86,0.92,0.43,Poor
409,20,Male,3.45,510,Arts,0.95,0.87,0.45,Good
410,19,Female,2.19,664,Arts,0.96,0.41,0.49,Average
411,26,Male,2.79,362,Science,0.75,0.0,0.82,Average
412,25,Female,3.97,550,Science,0.97,0.84,0.94,Average
413,29,Female,3.62,433,Arts,0.62,0.29,0.74,Poor
414,27,Female,2.32,602,Arts,0.91,0.76,0.89,Poor
415,24,Female,2.56,550,Engineering,0.73,0.57,0.64,Average
416,26,Female,2.66,366,Arts,0.79,0.22,0.84,Good
417,21,Male,3.3,347,Engineering,0.93,0.65,0.56,Good
418,21,Female,3.51,227,Arts,0.85,0.76,0.77,Good
419,18,Male,3.5,458,Arts,0.78,0.47,0.71,Good
420,25,Male,3.02,797,Science,0.67,0.75,0.75,Average
421,29,Female,3.62,641,Arts,0.98,0.4,0.23,Good
422,20,Male,2.87,726,Engineering,0.73,0.98,0.15,Poor
423,24,Female,2.25,410,Science,0.64,0.24,0.65,Good
424,29,Male,3.13,742,Engineering,0.83,0.78,0.48,Good
425,19,Male,3.9,644,Arts,0.76,0.75,0.76,Average
426,19,Female,3.59,652,Science,0.84,0.53,0.15,Good
427,24,Female,3.16,603,Engineering,0.69,0.35,0.95,Average
428,23,Female,3.29,265,Arts,0.75,0.45,0.7,Average
429,20,Female,3.86,604,Engineering,0.99,0.63,0.02,Good
